Show_id,Type,Title,Director,Cast,Country,Date_added,Release_year,Rating,Duration,Listed_in,Description,Data_Quality_notes
s22,Tv Show,Resurrection Ertugrul,unknown,EnginAltanDzyatanSerdarGkhanHlyaDarcanKaanTaanerEsraBilgiOsmanSoykutSerdarDenizCengizCokunReshadStrikHandeSuba,Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",When a good deed unwittingly endangers his clan a 13thcentury Turkish warrior agrees to fight a sultans enemies in exchange for new tribal land,
s23,Movie,Avvai Shanmughi,KS Ravikumar,KamalHassanMeenaGeminiGanesanHeeraRajgopalNassarSPBalasubrahmanyam,unknown,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies",Newly divorced and denied visitation rights with his daughter a doting father disguises himself as a grayhaired nanny in order to spend time with her,
s24,Movie,Go Go Cory Carson Chrissy Takes the Wheel,Alex Woo Stanley Moore,MaisieBensonPaulKillamKerryGudjohnsenACLim,unknown,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,From arcade games to sled days and hiccup cures Cory Carsons curious little sister Chrissy speeds off on her own for fun and adventure all over town,
s25,Movie,Jeans,S Shankar,PrashanthAishwaryaRaiBachchanSriLakshmiNassar,India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",When the father of the man she loves insists that his twin sons marry twin sisters a woman creates an alter ego that might be a bit too convincing,
s26,Tv Show,Love on the Spectrum,unknown,BrookeSatchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",Finding love can be hard for anyone For young adults on the autism spectrum exploring the unpredictable world of dating is even more complicated,
s27,Movie,Minsara Kanavu,Rajiv Menon,ArvindSwamyKajolPrabhuDevaNassarSPBalasubrahmanyamGirishKarnad,unknown,"September 21, 2021",1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun  and she falls for the friend he enlists to help him pursue her,
s28,Movie,Grown Ups,Dennis Dugan,AdamSandlerKevinJamesChrisRockDavidSpadeRobSchneiderSalmaHayekMariaBelloMayaRudolphColinQuinnTimMeadowsJoyceVanPatten,United States,"September 20, 2021",2010,PG-13,103 min,Comedies,Mourning the loss of their beloved junior high basketball coach five middleaged pals reunite at a lake house and rediscover the joys of being a kid,
s29,Movie,Dark Skies,Scott Stewart,KeriRussellJoshHamiltonJKSimmonsDakotaGoyoKadanRockettLJBenetRichHutchmanMyndyCristAnnieThurmanJakeBrennan,United States,"September 19, 2021",2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",A familys idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat,
s30,Movie,Paranoia,Robert Luketic,LiamHemsworthGaryOldmanAmberHeardHarrisonFordLucasTillEmbethDavidtzJulianMcMahonJoshHollowayRichardDreyfussAngelaSarafyan,"United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,Blackmailed by his companys CEO a lowlevel employee finds himself forced to spy on the bosss rival and former mentor,
s31,Movie,Ankahi Kahaniya,Ashwiny Iyer Tiwari Abhishek Chaubey Saket Chaudhary,AbhishekBanerjeeRinkuRajguruDelzadHiwaleKunalKapoorZoyaHussainNikhilDwivediPalomiGhosh,unknown,"September 17, 2021",2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",As big city life buzzes around them lonely souls discover surprising sources of connection and companionship in three tales of love loss and longing,
s32,Tv Show,Chicago Party Aunt,unknown,LaurenAshRoryOMalleyRuPaulCharlesJillTalleyIkeBarinholtzJonBarinholtzMatthewCraigBobOdenkirkMikeHagertyKatieRichChrisWitaske,unknown,"September 17, 2021",2021,TV-MA,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood  and a soft spot for her soulsearching nephew,
s33,Tv Show,Sex Education,unknown,AsaButterfieldGillianAndersonNcutiGatwaEmmaMackeyConnorSwindellsKedarWilliamsStirlingAlistairPetrie,United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",Insecure Otis has all the answers when it comes to sex advice thanks to his therapist mom So rebel Maeve proposes a school sextherapy clinic,
s34,Tv Show,Squid Game,unknown,LeeJungjaeParkHaesooWiHajunOhYoungsooJungHoyeonHeoSungtaeKimJooryoungTripathiAnupamYouSeongjooLeeYoumi,unknown,"September 17, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",Hundreds of cashstrapped players accept a strange invitation to compete in childrens games Inside a tempting prize awaits  with deadly high stakes,
s35,Tv Show,Tayo and Little Wizards,unknown,DamiLeeJasonLeeBommieCatherineHanJenniferWaescherNancyKim,unknown,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone,
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,AdrianTitieniElenaPureaJudithStateValeriuAndriuTudorSmoleanuVirgilAioaneiRaduBotarPetronelaGrigorescuBogdanNechiforCristianBota,unknown,"September 17, 2021",2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",When his son goes missing during a snowy hike in the mountains a retired intelligence officer will stop at nothing  and risk everything  to find him,
s37,Movie,The Stronghold,Cdric Jimenez,GillesLelloucheKarimLeklouFranoisCivilAdleExarchopoulosKenzaFortasCyrilLecomteMichalAbiteboulIdirAzougliVincentDarmuzeyJeanYvesBerteloot,unknown,"September 17, 2021",2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",Tired of the smalltime grind three Marseille cops get a chance to bust a major drug network But lines blur when a key informant makes a big ask,
s38,Tv Show,Angry Birds,unknown,AnttiPkknenHeljHeikkinenLynneGuaglionePasiRuohonenRaunoAhonen,Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",Birds Red Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal,
s39,Movie,Birth of the Dragon,George Nolfi,BillyMagnussenRonYuanQuJingjingTerryChenVannessWuJinXingPhilipNgXiaYuYuXia,"China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas",A young Bruce Lee angers kung fu traditionalists by teaching outsiders leading to a showdown with a Shaolin master in this film based on real events,
s40,Tv Show,Chhota Bheem,unknown,VatsalDubeyJulieTejwaniRupaBhimaniJignaBhardwajRajeshKavaMousamSwapnil,India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,A brave energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil,
s41,Tv Show,HeMan and the Masters of the Universe,unknown,YuriLowenthalKimberlyBrooksAntonyDelRioTrevorDevallBenDiskinGreyGriffinDavidKayeTomKennyJudyAliceLeeRogerCraigSmithFredTatasciore,United States,"September 16, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull  and their destiny to defend Eternia from sinister Skeletor,
s42,Movie,Jaws,Steven Spielberg,RoyScheiderRobertShawRichardDreyfussLorraineGaryMurrayHamiltonCarlGottliebJeffreyKramerSusanBacklinieJonathanFilleyTedGrossman,United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",When an insatiable great white shark terrorizes Amity Island a police chief an oceanographer and a grizzled shark hunter seek to destroy the beast,
s43,Movie,Jaws 2,Jeannot Szwarc,RoyScheiderLorraineGaryMurrayHamiltonJosephMascoloJeffreyKramerCollinWilcoxPaxtonAnnDusenberryMarkGrunerBarryCoeSusanFrench,United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers",Four years after the last deadly shark attacks police chief Martin Brody fights to protect Amity Island from another killer great white,
s44,Movie,Jaws 3,Joe Alves,DennisQuaidBessArmstrongSimonMacCorkindaleLouisGossettJrJohnPutchLeaThompsonPHMoriartyDanBlaskoLizMorrisLisaMaurer,United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",After the staff of a marine theme park try to capture a young great white shark they discover its mother has invaded the enclosure and is out for blood,
s45,Movie,Jaws The Revenge,Joseph Sargent,LorraineGaryLanceGuestMarioVanPeeblesKarenYoungMichaelCaineJudithBarsiMitchellAndersonLynnWhitfield,United States,"September 16, 2021",1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",After another deadly shark attack Ellen Brody has had enough of Amity Island and moves to the Caribbean  but a great white shark follows her there,
s46,Movie,My Heroes Were Cowboys,Tyler Greco,unknown,unknown,"September 16, 2021",2021,PG,23 min,Documentaries,Robin Wiltshires painful childhood was rescued by Westerns Now he lives on the frontier of his dreams training the horses he loves for the big screen,
s47,Movie,Safe House,Daniel Espinosa,DenzelWashingtonRyanReynoldsVeraFarmigaBrendanGleesonSamShepardRubnBladesNoraArnezederRobertPatrickLiamCunninghamJoelKinnaman,"South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house thats come under attack and get him to a securer location,
s48,Tv Show,The Smart Money Woman,Bunmi Ajakaiye,OsasIghodaroIniDimaOkojieKemiLalaAkindojuToniTonesEbenezerEnoEsoOkolochaDIkePatrickDiabuahKaribiFubaraTemisanEmmanuelTiminiEgbuson,unknown,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Five glamorous millennials strive for success as they juggle careers finances love and friendships Based on Arese Ugwus 2016 bestselling novel,
s49,Movie,Training Day,Antoine Fuqua,DenzelWashingtonEthanHawkeScottGlennTomBerengerHarrisYulinRaymondJBarryCliffCurtisDrDreSnoopDoggMacyGrayEvaMendes,United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentors questionable brand of justice,
s50,Tv Show,Castle and Castle,unknown,RichardMofeDamijoDakoreAkandeBimboManuelBlossomChukwujekwuDeyemiOkanlawonEtimEffiongDenolaGreyDukeAkintolaEkuEdeworAdeLaoyeAneeIchaKevinUshiJudeChukwukaAmandaAfolabi,Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",A pair of highpowered successful lawyers find themselves defending opposite interests of the justice system causing a strain on their happy marriage,
s51,Tv Show,Dharmakshetra,unknown,KashmiraIraniChandanAnandDineshMehtaAnkitAroraPushkarGoggiaaAnjaliRanaAaryaDharmChandKumarAmitBehlMaleekaGhai,India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",After the ancient Great War the god Chitragupta oversees a trial to determine who were the battles true heroes and villains,
s52,Movie,InuYasha the Movie 2 The Castle Beyond the Looking Glass,Toshiya Shinohara,KappeiYamaguchiSatsukiYukinoMiekoHaradaKojiTsujitaniHoukoKuwashimaKumikoWatanabeNorikoHidakaKenichiOgataToshiyukiMorikawaIzumiOgami,Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",With their biggest foe seemingly defeated InuYasha and his friends return to everyday life But the peace is soon shattered by an emerging new enemy,
s53,Movie,InuYasha the Movie 3 Swords of an Honorable Ruler,Toshiya Shinohara,KappeiYamaguchiSatsukiYukinoKojiTsujitaniHoukoKuwashimaKumikoWatanabeKenNaritaAkioOtsukaKikukoInoue,Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons Now the evil power of the third sword has been awakened,
s54,Movie,InuYasha the Movie 4 Fire on the Mystic Island,Toshiya Shinohara,KappeiYamaguchiSatsukiYukinoKojiTsujitaniHoukoKuwashimaKumikoWatanabeNorikoHidakaKenNaritaChoMamikoNotoNobutoshiCanna,Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",Ai a young halfdemon who has escaped from Horai Island to try to help her people returns with potential saviors InuYasha Sesshomaru and Kikyo,
s55,Movie,InuYasha the Movie Affections Touching Across Time,Toshiya Shinohara,KappeiYamaguchiSatsukiYukinoKojiTsujitaniHoukoKuwashimaKumikoWatanabeKenichiOgataNorikoHidakaHisakoKyodaKenNaritaTomokazuSeki,Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",A powerful demon has been sealed away for 200 years But when the demons son is awakened the fate of the world is in jeopardy,
s56,Tv Show,Nailed It,unknown,NicoleByerJacquesTorres,United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,Home bakers with a terrible track record take a crack at recreating edible masterpieces for a 10000 prize Its part reality contest part hot mess,
s57,Movie,Naruto Shippuden the Movie Blood Prison,Masahiko Murata,JunkoTakeuchiChieNakamuraRikiyaKoyamaKazuhikoInoueMasakiTerasomaMieSonozakiYuichiNakamuraKengoKawanishiKoseiHirotaMasakoKatsuki,Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",Mistakenly accused of an attack on the Fourth Raikage ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed,
s58,Movie,Naruto Shippden the Movie Bonds,Hajime Kamegaki,JunkoTakeuchiChieNakamuraNoriakiSugiyamaUnshoIshizukaMotokoKumaiKazuhikoInoueRikiyaKoyamaShowtaroMorikuboNanaMizukiSatoshiHinoShinjiKawada,Japan,"September 15, 2021",2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",When strange ninjas ambush the village of Konohagakure its up to adolescent ninja Naruto and his longmissing pal Sasuke to save the planet,
s59,Movie,Naruto Shippden the Movie The Will of Fire,Masahiko Murata,JunkoTakeuchiChieNakamuraKazuhikoInoueSatoshiHinoShowtaroMorikuboKentaroItoRyokaYuzukiKohsukeToriumiNanaMizukiShinjiKawadaYoichiMasukawaKoichiTochikaYukariTamura,Japan,"September 15, 2021",2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",When four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land,
s60,Movie,Naruto Shippuden The Movie,Hajime Kamegaki,JunkoTakeuchiChieNakamuraYoichiMasukawaKoichiTochikaAyumiFujimuraKeisukeOdaDaisukeKishioFumikoOrikasaHidetoshiNakamuraTetsuyaKakiharaKishoTaniyamaMiyukiSawashiroKatsuyukiKonishiMasakoKatsukiKeikoNemotoMasashiEbaraKazuhikoInoueShowtaroMorikuboRomiParkDaisukeOnoSeizoKato,Japan,"September 15, 2021",2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",The adventures of adolescent ninja Naruto Uzumaki continue as hes tasked with protecting a priestess from a demon  but to do so he must die,
s61,Movie,Naruto Shippuden The Movie The Lost Tower,Masahiko Murata,JunkoTakeuchiChieNakamuraSatoshiHinoRikiyaKoyamaNobuakiFukudaKenjiHamadaKeikoNemotoSaoriHayamiYumiTomaYukoKobayashiFujikoTakimotoMutsumiTamuraMayukiMakiguchiToshiyukiMorikawa,Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",When Naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil,
s62,Movie,Naruto the Movie 2 Legend of the Stone of Gelel,Hirotsugu Kawasaki,JunkoTakeuchiGamonKaaiChieNakamuraShowtaroMorikuboAkiraIshidaYasuyukiKaseUraraTakanoSachikoKojimaHoukoKuwashimaTakakoHonda,Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",While on a mission to return a missing pet Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin,
s63,Movie,Naruto the Movie 3 Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,JunkoTakeuchiChieNakamuraYoichiMasukawaKazuhikoInoueAkioOtsukaKyousukeIkedaMarikaHayashiUmejiSasakiMasashiSugawaraHisaoEgawa,Japan,"September 15, 2021",2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son Hikaru to the Crescent Moon kingdom,
s64,Movie,Naruto the Movie Ninja Clash in the Land of Snow,Tensai Okamura,JunkoTakeuchiNoriakiSugiyamaChieNakamuraKazuhikoInoueYuhkoKaidaTsutomuIsobeHirotakaSuzuokiJunKarasawaHariiKanekoIkuoNishikawa,Japan,"September 15, 2021",2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",Naruto Sasuke and Sakura learn theyll be protecting an actress from being hurt while making her next film but it turns out shes a princess,
s65,Movie,Nightbooks,David Yarovesky,WinslowFegleyLidyaJewettKrystenRitter,unknown,"September 15, 2021",2021,TV-PG,103 min,Children & Family Movies,Scary story fan Alex must tell a spinetingling tale every night  or stay trapped with his new friend in a wicked witchs magical apartment forever,
s66,Tv Show,Numberblocks,unknown,BethChalmersDavidHoltMarcelMcCallaTeresaGallagher,United Kingdom,"September 15, 2021",2021,TV-Y,6 Seasons,Kids' TV,In a place called Numberland math adds up to tons of fun when a group of cheerful blocks work play and sing together,
s67,Tv Show,Raja Rasoi Aur Anya Kahaniyan,unknown,unknown,India,"September 15, 2021",2014,TV-G,1 Season,"Docuseries, International TV Shows",Explore the history and flavors of regional Indian cuisine from traditional Kashmiri feasts to the vegetarian dishes of Gujarat,
s68,Tv Show,Saved by the Bell,unknown,MarkPaulGosselaarTiffaniThiessenMarioLopezLarkVoorhiesElizabethBerkleyDustinDiamondDennisHaskins,United States,"September 15, 2021",1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",From middle school to college best friends Zack Kelly Slater Jessie Screech and Lisa take on the highs and lows of life together in this hit series,
s69,Movie,Schumacher,HannsBruno Kammertns Vanessa Ncker Michael Wech,MichaelSchumacher,unknown,"September 15, 2021",2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",Through exclusive interviews and archival footage this documentary traces an intimate portrait of seventime Formula 1 champion Michael Schumacher,
s70,Tv Show,Stories by Rabindranath Tagore,unknown,unknown,India,"September 15, 2021",2015,TV-PG,1 Season,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early20thcentury Bengal,
s71,Tv Show,Too Hot To Handle Latino,unknown,ItatCantoral,unknown,"September 15, 2021",2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",On this reality show singles from Latin America and Spain are challenged to give up sex But here abstinence comes with a silver lining US100000,
s72,Movie,A StoryBots Space Adventure,David A Vargas,EvanSpiridellisErinFitzgeraldJeffGillFredTatascioreEvanMichaelLeeJaredIsaacmanSianProctorChrisSembroskiHayleyArceneaux,unknown,"September 14, 2021",2021,TV-Y,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids questions about space,
s73,Tv Show,Jack Whitehall Travels with My Father,unknown,JackWhitehallMichaelWhitehall,United Kingdom,"September 14, 2021",2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",Jovial comic Jack Whitehall invites his stuffy father Michael to travel with him through Southeast Asia in an attempt to strengthen their bond,
s74,Movie,King of Boys,Kemi Adetiba,SolaSobowaleAdesuaEtomiRemilekunReminisceSafaruTobechukwuiLLblissEjioforToniTonesPaulSamboJideKosokoSharonOoja,Nigeria,"September 14, 2021",2018,TV-MA,182 min,"Dramas, International Movies",When a powerful businesswomans political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything,
s75,Tv Show,The Worlds Most Amazing Vacation Rentals,unknown,unknown,unknown,"September 14, 2021",2021,TV-PG,2 Seasons,Reality TV,With an eye for every budget three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series,
